"","BAM","PA_CF_1","PA_RH","PA_Temp","hour","h2o_xgb","cvpreds","h2o_xgb_m"
"2062",18.1,37.52816667,60.3,81.6,"8",19.1904716491699,19.4740810394287,19.5478019714355
"2063",8.5,28.66383333,55,84.66666667,"9",16.6994247436523,16.9836826324463,16.9568176269531
"2064",5,18.59316667,46.6,88.06666667,"10",12.8994188308716,12.9596824645996,12.9435710906982
"2065",3.8,9.3065,40.4,91.26666667,"11",9.33782863616943,9.33279514312744,9.3809928894043
"2066",6.2,6.903333334,37.66666667,93.8,"12",8.22622108459473,8.33208656311035,8.40262222290039
"2067",6.7,6.187666667,34.06666667,96.73333333,"13",8.29027938842773,9.1072998046875,8.45801448822021
"2068",4.6,5.838333333,33.2,96.9,"15",9.38372993469238,9.54696846008301,9.46226024627686
"2069",6.9,5.112166667,32.83333333,97.2,"16",9.07963848114014,9.36963176727295,9.33281517028809
"2070",10.3,5.924,41.23333333,89.36666667,"17",10.0293741226196,10.1956825256348,10.2644958496094
"2071",15,9.262166667,48.6,84.5,"18",11.6815824508667,12.3757352828979,11.8679285049438
"2072",12.6,13.01966667,54.53333333,82.26666667,"19",14.9777708053589,14.3019351959229,14.5457963943481
"2073",10.8,15.147,56.7,81.53333333,"20",13.7991895675659,14.0487127304077,14.0414381027222
"2074",1.7,8.187333334,57.16666667,80.7,"21",9.01991653442383,8.97751426696777,9.1617546081543
"2075",5.3,8.757333333,58.86666667,79.96666667,"22",8.14502906799316,8.09676933288574,8.20495414733887
"2076",8.5,7.001833334,60,79.73333333,"23",5.81884622573853,6.24360418319702,6.23937797546387
"2077",5.8,8.030333334,60.3,79.93333333,"0",5.79672622680664,6.12640142440796,6.02241325378418
"2078",6.6,10.47483334,61.7,78.96666667,"1",6.30533170700073,6.6870756149292,6.77252006530762
"2079",6,11.56,63,78.23333333,"2",6.73220682144165,6.90244245529175,6.99706792831421
"2080",6.3,15.3395,64.7,77.3,"3",7.95993614196777,8.52455234527588,8.56289768218994
"2081",7.3,19.19233334,65.76666667,77,"4",10.1532354354858,10.599063873291,10.6297378540039
"2082",10.5,23.23533334,65.3,77.2,"5",12.4738082885742,13.0564727783203,13.063304901123
"2083",12.2,27.6795,63.9,78.1,"6",14.4176692962646,14.5062732696533,14.7013282775879
"2084",10.9,23.38883333,63.06666667,78.56666667,"7",10.4849166870117,10.246618270874,10.4933567047119
"2085",12.2,19.98583334,60,80.26666667,"8",9.49121952056885,10.0541143417358,10.0190448760986
"2086",2.4,17.28866667,54.9,83.26666667,"9",10.3934097290039,10.6160717010498,10.7604389190674
"2087",8.1,18.20266667,49.4,86.33333333,"10",12.4966316223145,12.4344844818115,12.526309967041
"2088",6.3,21.9345,48.66666667,86.7,"11",15.7700452804565,15.5896053314209,15.6376781463623
"2089",1.7,10.1845,42.46666667,90.8,"12",9.7165355682373,9.8062858581543,9.82993984222412
"2090",13.7,8.5645,43.43333333,91.6,"13",8.99097442626953,8.93676376342773,9.07513523101807
"2091",-5.9,7.974,51.9,88.53333333,"14",8.22422790527344,8.52226734161377,8.51253986358643
"2092",13.3,11.18016667,49.76666667,89.06666667,"15",11.2783212661743,11.0441417694092,11.1988277435303
"2093",16.2,23.86316667,55.3,85.5,"16",17.979455947876,17.9237861633301,17.9064655303955
"2094",15.1,19.97933334,55.13333333,83.4,"17",16.9182796478271,17.0549659729004,16.9286975860596
"2095",16.5,20.88,56.23333333,81.66666667,"18",17.6273250579834,17.8525714874268,17.6528778076172
"2096",13.6,16.91283334,58.96666667,80.33333333,"19",16.8486747741699,16.4866371154785,16.3507080078125
"2097",14.8,17.73383334,62.16666667,79,"20",14.8805475234985,15.0141019821167,15.0627202987671
"2098",16.9,23.072,63.6,78.63333333,"21",16.8502578735352,16.7197418212891,16.8075752258301
"2099",15.7,20.95933334,63,78.36666667,"22",14.6271238327026,14.342734336853,14.5428237915039
"2100",11.9,20.564,63.83333333,78.13333333,"23",13.0680332183838,13.1472225189209,13.3330364227295
"2101",10,22.89683334,64.56666667,78,"0",13.7357654571533,13.759316444397,13.790454864502
"2102",11.9,18.12716667,64.73333333,77.3,"1",10.332576751709,10.6004457473755,10.7061958312988
"2103",7.5,17.6145,64.86666667,77,"2",9.94890689849854,10.0859384536743,10.1430559158325
"2104",3,17.647,64.8,76.7,"3",9.21577072143555,10.4673490524292,9.79544448852539
"2105",10.3,19.30366667,65,76.76666667,"4",10.2506608963013,10.6984977722168,10.7306337356567
"2106",12.8,26.3825,65.23333333,76.33333333,"5",14.196439743042,14.7721500396729,14.7553873062134
"2107",17.2,35.90083334,65.5,76.03333333,"6",18.8270969390869,18.8709926605225,19.0202121734619
"2108",20.3,41.69416667,62.86666667,77,"7",20.5695457458496,20.6033897399902,20.4013442993164
"2109",16.4,43.33383334,58.4,79.33333333,"8",22.4488353729248,23.028772354126,22.7602672576904
"2110",15.8,39.70766667,53.63333333,82.13333333,"9",22.8159084320068,23.0425434112549,22.9733543395996
"2111",12.5,27.6385,46.86666667,86.36666667,"10",17.8430557250977,17.8756637573242,17.7970962524414
"2112",11.1,18.40216667,40.13333333,91.1,"11",14.3709049224854,14.5487327575684,14.3277111053467
"2113",15,26.8565,39.13333333,91.76666667,"12",19.1215515136719,19.1398887634277,19.0948867797852
