"","BAM","PA_CF_ATM","PA_RH","PA_Temp","hour","h2o_xgb","cvpreds","h2o_xgb_m"
"80",17.4,31.37244445,64.22222222,78.15555556,"7",19.6081485748291,19.1226940155029,18.8159065246582
"81",20,31.68122222,58.93333333,80.44444444,"8",20.2010955810547,18.1256160736084,20.072229385376
"82",17.8,21.75266667,49.46666667,85.24444444,"9",17.0847911834717,16.0261096954346,16.1143264770508
"83",17.8,17.27866667,44.11111111,87.95555556,"10",14.5820846557617,14.6383581161499,15.2702159881592
"84",14.4,16.34611111,40.8,89,"11",15.4771432876587,15.0255537033081,15.3376159667969
"85",17.2,15.83633334,36.02222222,91.66666667,"12",13.7784194946289,13.7506809234619,14.6876440048218
"86",14.3,15.95966667,34.11111111,92.68888889,"13",14.1999750137329,14.9471311569214,14.7802743911743
"87",21.2,16.41522222,30,94.95555556,"14",15.386173248291,14.6045837402344,15.5528230667114
"88",16.4,13.59904762,29.66666667,94.95238095,"15",14.8962936401367,12.7910070419312,14.8410606384277
"89",20,15.55166667,31.11111111,94.26666667,"16",16.3286781311035,15.5943365097046,17.4555988311768
"90",21.7,19.70466667,34.22222222,91.82222222,"17",22.2562313079834,19.7839984893799,20.7565670013428
"91",27.8,21.00333334,37.53333333,90.26666667,"18",23.6095428466797,19.4118938446045,21.7582492828369
"92",8.2,12.38582126,49.2826087,83.52173913,"19",11.5202779769897,15.0201978683472,12.3735437393188
"93",9.9,14.03010606,51.84444444,80.77777778,"20",13.0649118423462,14.7804727554321,12.3541593551636
"94",10.3,10.62988889,57.15555556,80,"21",10.5400476455688,9.34707069396973,10.6990804672241
"95",9.8,10.30055556,57.04444444,80,"22",9.64028549194336,11.3685531616211,10.6467142105103
"96",14.4,13.02844445,57.24444444,79.97777778,"23",12.4701519012451,12.1999931335449,11.999324798584
"97",13.4,14.83,58.08888889,79.17777778,"0",13.561411857605,13.6378049850464,13.4007511138916
"98",17.7,18.03055556,60.06666667,78.86666667,"1",15.7740478515625,14.0014390945435,15.3671064376831
"99",14.1,16.70544445,61.8,78,"2",13.2750425338745,12.4021253585815,13.3179979324341
"100",11.3,15.55433333,63.84444444,77.26666667,"3",11.1503229141235,11.5168428421021,12.3500680923462
"101",12.7,18.25955556,64.93333333,76.97777778,"4",13.1032218933105,13.6962852478027,13.1675882339478
"102",14.4,22.39488889,65.91111111,76.44444444,"5",15.7602319717407,14.6065320968628,15.4530057907104
"103",21.7,28.67777778,64.48888889,77,"6",18.6073513031006,20.2094860076904,18.8911533355713
"104",25.4,33.69322222,62.57777778,77.35555556,"7",20.1711540222168,18.6124515533447,18.9033393859863
"105",18.1,24.33877778,56.73333333,80.8,"8",18.0459938049316,16.5055160522461,16.3407382965088
"106",21.3,20.84435354,48.5,85.09090909,"9",16.4383964538574,12.9667062759399,15.4372434616089
"107",15.2,18.50733333,45.53333333,86.24444444,"10",13.4837331771851,13.7633771896362,13.9312114715576
"108",17.5,11.97733334,39.15555556,90.4,"11",11.9114122390747,11.2598505020142,13.2334871292114
"109",17.2,13.69333333,34.97777778,93.08888889,"12",12.7655296325684,13.2635402679443,13.6285638809204
"110",18.7,18.96966667,34.11111111,93.86666667,"13",15.3999729156494,15.9455604553223,16.2840309143066
"111",16.7,14.11077778,32.75555556,94.51111111,"14",12.9951028823853,13.3335266113281,14.5881080627441
"112",11.8,10.07115217,31.52173913,96,"15",11.06467628479,11.5894346237183,11.3580617904663
"113",14.1,9.530666667,30.17777778,96.8,"16",10.3618879318237,10.914834022522,11.5023794174194
"114",12.3,12.25155556,33.66666667,94.37777778,"17",15.4457874298096,15.0462875366211,14.9197549819946
"115",12.2,13.66766667,38.35555556,91,"18",14.9324016571045,17.3099308013916,14.9843702316284
"116",21.2,21.257,43.11111111,88.55555556,"19",20.2171936035156,19.7237548828125,18.828800201416
"117",10.5,13.86466667,54.8,82.31111111,"20",12.8651666641235,13.8509378433228,13.3073425292969
"118",13.6,16.67844445,61.37777778,80.37777778,"21",14.509765625,14.3520803451538,15.4082012176514
"119",16.2,17.53122223,61.68888889,80,"22",14.9818820953369,15.8348121643066,16.7170257568359
"120",19.7,24.52866667,63.75555556,79.55555556,"23",16.6008491516113,17.3887538909912,19.858814239502
"121",17.3,21.09761364,64.75,79,"0",15.978889465332,16.0853614807129,15.8143281936646
"122",16.6,19.15044445,64.62222222,78.37777778,"1",11.6013698577881,12.391881942749,13.2868642807007
"123",15.5,17.113,64.77777778,77.24444444,"2",11.5623826980591,11.888144493103,13.1788177490234
"124",17.4,22.86611111,65.08888889,77.17777778,"3",12.7879667282104,12.754002571106,13.5726985931396
"125",19.2,21.17922223,64.66666667,77.06666667,"4",16.0456619262695,14.782283782959,15.6793584823608
"126",21.1,25.50945652,64.80434783,76.97826087,"5",15.7919483184814,16.7933921813965,17.0849361419678
"127",25.7,31.18211111,64.91111111,76.95555556,"6",19.3929309844971,18.0223827362061,19.5682582855225
"128",30.8,41.35566667,63.2,77.53333333,"7",26.5533752441406,26.0004901885986,26.3633575439453
"129",26.4,35.14011111,57.08888889,80.71111111,"8",22.7955589294434,19.8486003875732,21.2722206115723
"130",14.3,22.57077778,51.68888889,83.53333333,"9",15.702299118042,16.4690742492676,16.0236740112305
