"","BAM","PA_CF_ATM","PA_RH","PA_Temp","BC","hour","Predicted_Corrected_ATM_pred"
"64",21.7,17.92111111,32.04444444,96.13333333,7.296683333,15,18.9617582237107
"65",24.8,20.005,32.17777778,95.88888889,7.651366667,16,20.0419131300234
"66",23.7,19.12022223,34.26666667,93.4,7.662116667,17,19.5522431109909
"67",26.9,30.39622223,36.91111111,91.35555556,10.85336667,18,26.06306478103
"68",22.4,25.33944445,40.88888889,88.88888889,8.8007,19,21.8442282500741
"69",21.9,18.92688889,47.13333333,85.4,8.208683333,20,17.8474212980729
"70",12.1,16.91133334,55.51111111,81.15555556,7.329083333,21,14.9998524974663
"71",20.5,21.99188889,57.82222222,81.68888889,11.93996429,22,20.1606141058938
"72",17.8,16.78611111,55.22222222,82.28888889,8.006216667,23,15.3105156005013
"73",16.2,16.58966667,54.77777778,81.42222222,5.974266667,0,14.540383292052
"74",12.5,13.48188889,58.95555556,80.2,4.997716667,1,11.7163539070762
"75",12.3,12.95066667,61.04444444,78.84444444,4.134283333,2,10.0858344217276
"76",11.4,13.21277778,61.55555556,78.11111111,5.741683333,3,11.3729688398917
"77",11.4,12.43930233,63.62790698,77.72093023,4.990833333,4,10.2836338143452
"78",13.1,17.01207318,64.92682927,77,5.562333333,5,12.5542319400718
"79",14.7,22.23033334,64.53333333,77.24444444,7.1371,6,15.6288823712188
"80",17.4,31.37244445,64.22222222,78.15555556,7.346607143,7,19.5804579257778
