"","BAM","PA_CF_1","PA_RH","PA_Temp","BC","hour","Predicted_Corrected_1_pred"
"889",13.6,17.83433333,70,74.63333333,5.704033333,"3",12.0288914474715
"890",18.2,21.276,69.8,74.16666667,7.426433333,"4",14.0250667841362
"891",25.2,29.81333333,70.26666667,74,14.00281667,"5",21.121552536902
"892",24.3,39.4585,70.83333333,73.96666667,13.53044643,"6",24.5474116475681
"893",27.7,57.4565,68.4,75.16666667,11.7027,"7",32.9663703244932
"894",20.8,33.285,63,77.83333333,9.836316667,"8",21.403987845345
"895",13.4,20.59166667,57.33333333,80.8,7.4479,"9",16.0890116310568
"896",16,20.42516667,47.03333333,86.46666667,4.897466667,"10",16.3773724470434
"897",14.6,15.33533334,43.56666667,88.7,6.260083333,"11",15.5210731823731
"898",14.7,13.32533334,39.3,91.9,6.052166667,"12",15.0606564055839
"899",18.4,14.3515,40.56666667,91,8.616464286,"13",16.4109995413462
"900",11.6,11.8445,45.86666667,87.53333333,5.979883333,"14",13.5956746544883
"901",15.3,14.28033334,46.7,87.3,5.842166667,"15",14.3300697637738
"902",5.6,5.885666667,48.56666667,85.9,1.3341,"16",5.89028876965372
"903",17.3,16.411,50.73333333,84.4,6.442783333,"17",15.1582157924708
"904",27.1,22.35533334,52.1,82.66666667,9.4829,"18",19.0719527941131
"905",22.5,20.66172414,56.75862069,79.68965517,9.620183333,"19",17.3133208321925
"906",14.9,16.2315,62.76666667,77.26666667,9.608533333,"20",14.3317478038622
"907",15.7,17.167,64.03333333,76.53333333,9.16895,"21",14.110767446309
"908",19.2,20.105,63.96666667,76,10.40858929,"22",16.2117611965093
"909",20.1,22.10033333,64,75.2,11.22301667,"23",17.4700294432929
"910",17.9,20.466,64.2,75.06666667,9.471416667,"0",15.3403574126702
"911",21.5,30.687,65.66666667,74.96666667,10.0872,"1",19.8164810271587
"912",20.5,25.4735,67.36666667,74.5,8.015683333,"2",16.1527777368259
"913",13.7,15.32433334,68.96666667,74,4.605866667,"3",10.0763176327951
"914",15.7,20.1285,68.76666667,74,6.717066667,"4",13.3304861440971
"915",14.6,26.8145,69.66666667,73.96666667,6.601433333,"5",15.9343059945298
"916",21.2,33.835,70.3,74.13333333,8.427107143,"6",19.3288726493692
"917",26.5,38.53733334,66.63333333,76.23333333,10.67471667,"7",23.4587859989445
"918",12.1,20.84866667,59.03333333,79.4,5.846316667,"8",15.1227570762247
"919",13.4,15.41733334,50.73333333,83.23333333,4.569183333,"9",13.7308798332528
"920",13.1,15.2635,45.03333333,86.36666667,5.044,"10",15.0705787728443
"921",13,13.24366667,39.06666667,90.13333333,4.31205,"11",14.3585654764735
"922",13.7,10.85083333,36.23333333,91.93333333,3.7613,"12",13.1455222763418
"923",15,10.613,31.46666667,95.16666667,3.59565,"13",13.5756090743093
"924",14.3,12.6895,31.23333333,94.36666667,4.193333333,"14",15.4005887778137
"925",20.6,11.02983334,27.63333333,94.73333333,4.3758,"16",16.0512456469621
"926",18.9,13.3175,38.23333333,86.9,6.164232143,"17",17.1530667726914
"927",17.3,14.37033333,45,83.83333333,5.6588,"18",15.8071767606589
"928",14.9,15.22066667,50.96666667,81.76666667,5.808616667,"19",14.5681781081163
"929",15.2,17.61766667,56.16666667,80.66666667,5.874966667,"20",14.4170117940742
"930",13.5,21.5339138,62.86666667,79.1,5.522483333,"21",14.900756190738
"931",15.5,20.20004598,64,77.96551724,5.506866667,"22",13.9849940610093
"932",11.5,19.27083334,65.03333333,77.4,5.241983333,"23",13.22474010873
"933",12.9,17.094,65.9,76.43333333,4.543433333,"0",11.4231143374147
"934",11,17.23,67.03333333,75.53333333,5.113466667,"1",11.7239306657805
"935",11,17.63166667,67.46666667,75,4.904883333,"2",11.575882113698
"936",15.5,19.0175,67.9,75,5.637508475,"3",12.6569718855765
"937",12.9,18.03816667,68,75,5.865789474,"4",12.3735536474693
"938",12.6,24.7175,67.9,74.96666667,7.682733333,"5",15.7779548975304
"939",21,32.53566667,67.56666667,74.93333333,10.33863333,"6",20.6318874571857
"940",30.1,45.33833334,64.36666667,76,12.87165,"7",27.5194840869291
"941",17.9,27.665,58.23333333,79,7.27995,"8",18.3670648271622
"942",21.3,21.04066667,51.53333333,82.13333333,7.024483333,"9",17.301737546065
"943",13.2,17.565,48.03333333,84.2,6.357966667,"10",16.3979979480692
"944",22.8,17.44383333,43.23333333,87.2,6.453071429,"11",17.0905472376705
"945",20.3,18.595,42.3,88.56666667,8.346783333,"12",18.1847666598722
"946",23.4,16.78833334,37.86666667,90.63333333,7.6195,"13",17.9574926028511
"947",19,17.39216667,37.66666667,91.16666667,8.2375,"14",18.3932290942917
"948",20.5,17.66733334,35.13333333,92.96666667,8.152033333,"15",18.7649214418564
"949",19.3,17.65083333,37.53333333,91.6,9.530066667,"16",19.3122757376517
"950",24.5,18.7275,40.8,88.53333333,10.29376667,"17",20.2713745099152
"951",18.5,22.9085,59.4,80.83333333,10.81573214,"18",19.1636951727571
"952",29.9,29.69366667,58.43333333,80.23333333,17.18153333,"19",24.1235003761878
"953",21.5,25.89933334,58.8,79.96666667,10.40993333,"20",19.9259378863293
"954",16.3,16.46033334,61.3,79.1,6.087816667,"21",13.1929476958424
"955",26.5,28.48183334,65.26666667,78,17.13398333,"22",22.6794598551905
"956",23,32.92349425,66.5,78,16.47206897,"23",24.0295898239074
"957",13.1,21.06089081,65.34482759,77.03448276,8.894965517,"0",15.5942990112367
"958",12.9,16.36166667,66.1,76.03333333,6.58015,"1",12.3007136029817
"959",12.5,14.421,67.8,75.7,5.693933333,"2",10.9708527045868
"960",12,12.91383334,67.73333333,75.03333333,4.948883333,"3",9.67994812735107
"961",7.8,13.71933334,67.93333333,75.13333333,5.30125,"4",10.2975987604106
"962",12.6,10.3645,68.03333333,75.2,6.094733333,"5",9.39075577643386
"963",11.1,17.887,68.86666667,75.13333333,8.197333333,"6",13.2307690332975
"964",16.2,25.878,66.2,76.43333333,10.15793333,"7",18.3652801208285
"965",15,22.412,62.23333333,78.23333333,8.765949153,"8",16.5177815573665
"966",18.4,20.78083334,56.66666667,81,8.762175439,"9",16.9636338993787
"967",12.7,16.49583334,52.3,83.33333333,8.7401,"10",16.0091071258752
"968",11.2,12.57916667,43.96666667,88.46666667,8.23,"11",15.1079678307001
"969",14.3,10.423,40.43333333,90.8,7.809433333,"12",14.4867033833759
"970",8.5,7.470666667,36.7,92.96666667,5.612066667,"13",13.0284079735046
"971",10.7,10.25416667,33.13333333,96.03333333,6.09275,"14",14.8783812326567
"972",8.9,10.48683333,32.66666667,95,6.472483333,"15",15.4827135180483
"973",18.5,11.8195,34.03333333,92.8,9.88335,"16",18.0512871818073
"974",18,15.8795,37.23333333,89.8,9.812321429,"17",19.5148375241691
"975",20.2,18.57816667,41.2,86.86666667,12.60513333,"18",22.1248239636459
"976",25.6,24.49966667,45.63333333,84.13333333,14.37018333,"19",24.2216870397072
"977",24.8,35.539,48.76666667,82.1,14.6858,"20",27.6641826881862
"978",61.3,112.8,51.03333333,80.96666667,21.10953571,"21",67.8794655935866
"979",27.3,29.96933334,52.63333333,80.1,15.79635,"22",24.6326583696367
"980",24.4,28.15897701,57.86666667,78.8,11.68776667,"23",21.5505953669439
"981",21.5,30.88343679,62.4137931,77.72413793,10.63263333,"0",21.1832737691865
"982",22.3,31.91133334,65.1,76.7,8.463983333,"1",19.4714943247726
"983",17.5,26.13416667,65.96666667,76,6.20965,"2",16.1321820078733
"984",15.5,21.00666667,66.73333333,75.1,5.809607143,"3",13.6379391174929
"985",17.4,22.6835,67.26666667,74.96666667,10.73825,"4",17.1674799580698
"986",21.6,27.0695,67,75,10.25983333,"5",18.5407392889596
"987",19.6,33.29083333,66.83333333,75.1,10.69473333,"6",21.2680529206934
"988",25.7,37.69283334,63.56666667,77.03333333,10.91418333,"7",23.6597982033358
"989",25.9,33.56516667,58.33333333,80.16666667,8.7986,"8",21.6117596559949
"990",20.9,25.0415,52.56666667,83.43333333,8.076678571,"9",19.0299988316953
"991",19.2,19.36066667,46.2,86.83333333,8.3395,"10",17.7535056415755
"992",15.2,16.864,42.56666667,88.96666667,9.260033333,"11",17.8708981339607
"993",19,16.66016667,38.13333333,91.96666667,9.3072,"12",18.3997330012813
"994",16.8,17.85533334,32.56666667,95.83333333,7.868733333,"13",18.8688646296155
"995",17.2,13.3125,29.23333333,98.2,6.540683333,"14",17.46891108185
"996",16.5,16.53919541,34.20689655,93.31034483,7.87525,"15",18.3806069378179
"997",24.2,19.76719541,39.75862069,89.65517241,12.61223333,"16",22.1740894682397
"998",16.4,18.41466667,50.56666667,85.9,11.50457143,"17",18.7956290942263
"999",28,29.23966667,58.03333333,82.33333333,21.0827,"18",26.1644247374175
"1000",21.6,22.77016667,56.4,81.13333333,13.72236667,"19",20.8622477357215
"1001",14.8,17.6505,56.3,80.9,10.65005,"20",17.2393336494371
"1002",20.4,20.7885,58.13333333,80,12.64232143,"21",19.3385987343231
"1003",24.7,22.18816667,59.5,79.63333333,14.2669,"22",20.1091312941686
"1004",22.9,27.05183334,61.23333333,79,15.83821667,"23",22.1116695088514
"1005",18.2,24.94564943,62.26666667,78.5,16.93871667,"0",21.4733181220112
"1006",15.5,23.76466667,64.33333333,77.46666667,11.62083333,"1",18.9822393698626
"1007",14.3,22.84100575,66.34482759,76.5862069,8.995071429,"2",16.2337870275261
"1008",17.4,20.20233334,67.76666667,76,8.8437,"3",14.8386111931209
"1009",20.7,31.379,67.3,75.96666667,11.97813333,"4",21.6208858835527
"1010",18.8,26.54733333,67.96666667,76,10.27713333,"5",18.5472354146673
"1011",25.8,36.598,67.23333333,76,14.27798333,"6",24.2545804761413
"1012",26.7,45.27783333,64.6,77.4,17.16453333,"7",29.0099875089605
"1013",24,27.01383333,56.2,81.5,9.793964286,"8",20.3928140358922
"1014",19.2,24.28283334,51.3,84.63333333,8.44285,"9",19.0022705928131
"1015",19.6,21.76142857,47.67857143,86.64285714,9.436483333,"10",19.105626884581
"1016",15.4,19.85183334,48.86666667,85.33333333,8.382516667,"11",17.6311515844955
"1017",14.8,17.82066667,40.73333333,91.03333333,7.230733333,"12",17.099004011509
"1018",16,20.07233334,36.46666667,93.5,5.630533333,"13",18.1046735358193
"1019",15.5,19.88316667,33.96666667,94.43333333,7.3121,"14",19.2994932969743
