"","BAM","PA_CF_1","PA_CF_ATM","PA_RH","PA_Temp","hour","Predicted_Corrected_ATM_pred"
"46",18,22.97583334,22.94438889,56.58888889,81.74444445,20,17.0018140625956
"47",23.6,22.2848245,22.27149621,57.37777778,81.09090909,21,16.5911318624321
"48",15.7,21.54788889,21.52272222,58.33333334,80.61111111,22,16.1045719728187
"49",17.1,18.8215,18.79916667,59.68888889,79.98888889,23,14.6748945806538
"50",19.3,19.9615,19.35505556,59.75555556,79.57777778,0,14.8038607799096
"51",16.6,15.5035,15.5035,60.55555556,78.88888889,1,12.509777205374
"52",14.2,13.72888889,13.72888889,61.37777778,78.18888889,2,11.058777325618
"53",14.8,13.49405556,13.49405556,62.01111112,77.8,3,10.7254581258382
"54",16.3,14.15427778,14.15427778,63.5,77,4,10.8546019905246
"55",15.2,18.07605555,17.96233333,63.68888889,77,5,13.0735449378564
"56",18,23.82327778,23.39116667,62.86666667,77.12222222,6,15.3623611004425
"57",18.2,23.98282071,23.92218056,59.89974748,77.75782828,7,15.9088981463551
"58",18,23.63938889,23.61316667,55.28888889,80.05555556,8,17.2715515571599
"59",21.8,20.743,20.68444445,47.36666667,84.13333334,9,17.8397374599352
"60",19.1,18.89319823,18.89192046,42.73838384,86.7780303,10,17.3991047125697
"61",22.4,18.67788889,18.67788889,38.74444445,89.82222222,11,17.8192847933983
"62",15.9,15.91691162,15.91691162,36.53308081,91.70732324,12,16.6580643476506
"63",17.9,14.83611111,14.83611111,34.78888889,92.91111111,13,16.1348682253605
"64",18,15.61516667,15.61516667,32.17777778,94.86666667,14,16.5488058281139
"65",15.8,16.03114614,15.99452415,33.2620773,92.81714976,15,17.3543952139944
"66",22.5,17.16622661,17.15691375,32.27163743,92.39561404,16,18.4664252324291
"67",21.1,16.37275,16.37225,34.08095238,91.92539683,17,17.615483889714
"68",14.6,14.67422223,14.67422223,39.71111111,87.68888889,18,15.7150986618377
"69",20.3,20.65033334,19.97372222,44.31111111,85.35555556,19,17.9411940421274
"70",16.2,13.80209722,13.80209722,46.06666667,83.37777778,20,14.7667999277754
"71",18.1,13.2835,13.2835,48.44444445,81.53333334,21,13.9896133382013
"72",14.8,14.25611111,14.19322222,51.82222222,80.52222223,22,13.6221948819821
"73",16.4,11.59538889,11.59538889,52.02222223,79.82222222,23,11.5508491205882
"74",12.4,11.41483333,11.41483333,54.24444445,78.97777778,0,10.6229668810587
"75",10,12.56594444,12.56594444,55.88888889,78.15555556,1,10.8283050390588
"76",10.1,11.97994445,11.97994445,57.93333334,77.27777778,2,9.68942554619392
"77",13.2,12.62266667,12.62266667,59.46666667,77,3,9.86773786605357
"78",7.3,12.50861111,12.50861111,61.68888889,76.25555556,4,9.32900298288206
"79",10.8,14.81344444,14.81344444,63.26666667,76,5,10.8076263121637
"80",16.2,34.67983333,30.34994445,63.93333333,76.22222222,6,17.861815042519
"81",19.5,32.97144445,31.23822222,60.7,77.97777778,7,19.0749131427834
"82",19.3,26.99484541,26.3212814,55.46835749,80.97608696,8,18.4390857295451
"83",12.6,13.02627778,13.02627778,46.7,84.97777778,9,13.5050723156087
"84",16.5,17.27312145,16.78008398,45.04082687,85.70697675,10,16.0579856176737
"85",15,11.39266667,11.39266667,41.56666667,87.96666667,11,12.7787573260299
"86",16.9,9.266718435,9.266718435,33.17272728,93.63888889,12,12.2287774270054
"87",18.6,11.02767342,11.02767342,32.5,93.39722223,13,13.9448151895493
"88",8.8,7.640757576,7.640757576,31.18914142,94.84393939,14,10.9546644946808
"89",11.4,6.266555556,6.266555556,30.44444445,94.71111111,15,10.1111624629299
"90",12.7,8.083491453,8.083491453,32.00598291,93.80512821,16,11.5550657714236
"91",15,10.02875,10.02875,37.72727273,89.13636364,17,12.630378365953
"92",16.2,12.93877778,12.93877778,40.66666667,86.95555556,18,14.4570600716322
"93",18.9,14.10266667,14.10266667,45.04444444,84.48888889,19,14.896659804569
"94",18.5,15.29144445,15.28044445,47.4,82.8,20,15.4871169207528
"95",16.2,14.91888889,14.91888889,50.68888889,81.28888889,21,14.4780926496942
"96",20,25.17238384,24.25626263,53.22727273,80.15909091,22,17.9807199772475
"97",15.1,17.83422222,17.82955556,55.08888889,79.42222222,23,14.7101806379959
"98",14.1,13.67477778,13.66277778,56.33333333,78.48888889,0,11.6591923787907
"99",14.7,12.10011111,12.10011111,58.35555556,77.93333333,1,10.0106151444726
"100",13.5,12.95166667,12.95166667,60.57777778,77.24444444,2,10.137928126574
"101",7.1,10.92811111,10.92811111,63.97777778,76.08888889,3,8.11637086167099
"102",12.1,13.40922222,13.40922222,65.73333333,75.31111111,4,9.72357486148983
"103",14.9,16.58433334,16.57744445,66.88888889,75,5,11.6973160985183
"104",20.5,29.26788889,28.23044445,66.51111111,75.53333333,6,16.8031845071228
"105",20.3,33.80533334,31.91122223,65.2,76.64444444,7,18.9697601430268
"106",15.3,23.67288889,23.47888889,60.86666667,79.04444444,8,16.2036764427509
"107",13.4,13.03172464,13.03072464,51.36956522,83.10869565,9,12.8807751727725
"108",9.7,10.35688889,10.35688889,47.33333333,85.22222222,10,11.2234734283468
"109",17.3,10.92455556,10.92344445,43.06666667,87.77777778,11,12.0245580373185
"110",10.1,11.42211111,11.42211111,43.8,87.57777778,12,12.2469158071022
"111",17.3,14.40602273,14.39977273,43.22727273,88.34090909,13,14.3605827959071
"112",7.4,19.59211111,19.54444445,65.44444444,78.88888889,18,14.7438764802275
"113",21.7,20.22511111,20.20777778,66.04444444,77.26666667,19,14.421541514935
"114",17.5,20.34,20.31033334,64.73333333,77.2,20,14.3016206870081
"115",14.1,11.06943182,11.06943182,63.40909091,77.06818182,21,8.64978945470894
"116",9,9.606555556,9.606555556,64.26666667,77,22,7.51341103894562
"117",13.6,12.80066667,12.80066667,65.04444444,77.24444444,23,10.1360624410657
"118",10.7,11.48122223,11.48122223,65.4,76.35555556,0,8.78556770960277
"119",9.1,7.129888889,7.129888889,66.73333333,75.02222222,1,4.78873382938229
"120",7.2,8.084777778,8.084777778,66.48888889,75,2,5.53630600959854
"121",11.6,13.08777778,13.08777778,65.44444444,74.97777778,3,9.29825502755353
"122",15,18.28266667,18.28188889,65.71111111,74.86666667,4,12.3682328856247
"123",18,21.59211111,21.57166667,65.64444444,74.95555556,5,13.8248747496434
"124",18.9,29.05311111,28.02766667,66,75,6,16.385922452796
"125",19.2,33.38277778,31.63655556,64.71111111,75.8,7,18.3771061699907
"126",21.1,27.03077778,26.71444445,61.82222222,78.04444444,8,17.0198510274477
"127",21.9,18.31377778,18.31111111,56.35555556,81.22222222,9,15.094612816928
"128",17.1,14.72611111,14.725,53,82.71111111,10,13.7116037716334
"129",15.9,18.13677778,17.99077778,55,82.28888889,11,15.1823394310479
"130",15.7,16.02588889,15.99722222,46.48888889,87.51111111,12,14.6149275804649
"131",9.6,10.20377778,10.20377778,40.2,89.62222222,13,11.9538947434669
"132",14.6,11.23688889,11.23688889,38.35555556,90.77777778,14,13.1144922083492
"133",18.3,10.67555556,10.67555556,37.48888889,90.44444444,15,13.0013420134986
"134",17.9,10.53933333,10.53266667,42.26666667,87.84444444,16,11.9356411802789
"135",15.1,15.04677778,15.04311111,50.64444444,84.28888889,17,14.056921556907
"136",21.6,15.71866667,15.71866667,44.73333333,83.31111111,18,16.3843351516225
"137",21.5,18.67611111,18.67544445,49.44444444,80.35555556,19,16.7243387504427
"138",18.8,17.31277778,17.31066667,54.28888889,78.62222222,20,14.3222777388232
"139",20.8,20.47488889,20.45488889,53.48888889,78.35555556,21,15.8514261662892
"140",17.7,19.19822223,19.19744445,54.64444444,77.95555556,22,14.8907411903115
"141",12.8,15.79844445,15.79844445,55.95555556,77.08888889,23,12.4941363734939
"142",14.9,19.03644445,19.03644445,61.33333333,76.2,0,13.1786198379544
"143",13.4,21.13733333,21.134,65.02222222,75.2,1,13.7140224957923
"144",11.6,15.58111111,15.58111111,66.28888889,74.88888889,2,10.985663063174
"145",11.9,15.59456522,15.59456522,67.10869565,73.97826087,3,10.6153724043626
"146",11.1,15.67788889,15.67788889,67.08888889,74,4,10.6745567479018
"147",13.7,17.30955556,17.30622223,66.88888889,74,5,11.5594078834918
"148",17.7,23.30955556,23.25777778,65.84444444,74,6,13.9805650780143
"149",30.8,39.21311112,35.168,64.51111111,75.22222222,7,20.2349373615632
"150",12.8,23.60955556,22.62788889,59.2,78.73333333,8,15.8825212491703
"151",12.1,11.48288889,11.48288889,50.57777778,83.37777778,9,11.8736293639575
"152",11.8,11.94366667,11.94366667,43.2,87.82222222,10,12.7535511941422
"153",9.4,11.94655556,11.94655556,39.37777778,90.11111111,11,13.465344403203
"154",14.1,11.48703125,11.48671875,35.96875,91.96875,12,13.7409715860959
"155",40.2,51.57322222,37.72466667,32.66666667,94.2,13,27.9100456363869
"156",20,18.87511111,17.80455556,32.93333333,93.57777778,14,18.1230247760392
"157",15,13.85688889,13.66377778,42.17777778,87.66666667,15,14.3233182232706
"158",13.9,11.98388889,11.975,40.04444444,87.4,16,13.8082109163888
"159",18.8,15.65433334,15.65433334,40.55555556,87.82222222,17,16.0411962781033
"160",19.2,17.80233334,17.80111112,40.26666667,86.86666667,18,17.5703872441675
"161",18.9,20.91266667,20.91033334,42.35555556,85.46666667,19,18.8507330033247
"162",16.1,14.502,14.46122223,51.88888889,81.93333333,20,13.8917350423412
"163",6.9,10.753,10.753,61.26666667,78.24444444,21,8.89390955780328
"164",15.5,19.73465116,19.62593024,56.8372093,78.3255814,22,14.8234588790176
"165",25.3,26.61411111,26.24122223,57.44444444,77.57777778,23,16.9841942900775
"166",19,23.77933334,23.632,58.11111111,77.82222222,0,16.0096117888114
"167",13.5,12.99644444,12.99644444,59.33333333,77.28888889,1,10.2779780066477
"168",11.6,13.85088889,13.85088889,62.04444444,77,2,10.6163967150494
"169",16.2,17.41511111,17.41333333,63.04444444,76.4,3,12.4906578981386
"170",15.8,15.684,15.684,63.35555556,76.02222222,4,11.3590621922642
"171",21.3,21.61355556,21.56755556,63.84444444,75.4,5,13.8965402952919
"172",18.6,33.01366667,30.70288889,66.13333333,75.17777778,6,17.7292362994753
"173",26.7,45.19522222,38.52733333,64,77.02222222,7,23.7084274608554
"174",26.9,40.26933334,35.755,58.71111111,80.06666667,8,22.7584549672599
"175",20.6,25.36388889,24.26544445,49.08888889,85.08888889,9,18.3909964708321
"176",16.5,13.18811111,13.18811111,41.17777778,89.66666667,10,13.9062388996489
"177",14.1,16.58577778,16.25344445,34.8,93,11,16.9515959260539
"178",16.6,15.94833333,15.83333333,31.71111111,94.93333333,12,16.7947529885269
"179",13.5,11.64188889,11.64188889,28.02222222,97.88888889,13,14.0407898548274
"180",19.2,13.93411111,13.93411111,29.31111111,97.6,14,15.347240604179
"181",19,18.194,18.17022222,30.42222222,95.95555556,15,17.9940413529121
"182",17.1,15.02077778,15.02077778,28.93333333,96.66666667,16,16.4349877092637
"183",21.1,15.22811112,15.11644445,30.26666667,95.31111111,17,16.6389855441886
"184",17.3,17.11233334,16.92488889,47.6,87.68888889,18,14.7839810928356
"185",19,23.19033334,23.14155556,56.37777778,82.97777778,19,16.9717039207107
"186",25.4,26.26133333,25.97544445,52.86666667,83,20,18.7650031466151
"187",19.3,18.62266667,18.62266667,50.55555556,83,21,16.4133874177482
"188",15.7,18.34944445,18.33377778,53.84444444,81.97777778,22,15.6195400548459
"189",12.4,16.00177778,16.00177778,54.62222222,81,23,14.1806560551313
"190",13.8,15.27818182,15.27511364,55.02272727,80.56818182,0,13.5973175992938
"191",19.1,15.86844444,15.86844444,56.42222222,79.71111111,1,13.482643485388
"192",11.3,12.61311111,12.61311111,59.08888889,78.64444444,2,10.5964227889568
"193",15.2,12.59722222,12.59211111,60.84444444,78,3,10.1955402784997
"194",10.5,10.23711112,10.23711112,60.57777778,78.08888889,4,8.45025357505818
"195",13.6,13.99144445,13.99144445,62.11111111,77.55555556,5,10.9588712777678
"196",17.5,24.51411111,24.21722223,64.13333333,77.11111111,6,15.7253644034944
"197",21.7,31.13755556,29.986,63.06666667,78.04444444,7,18.4614942277338
"198",21.7,29.54111111,28.78233334,58.86666667,80.02222222,8,18.7599990572375
"199",23.7,23.49422223,23.24177778,49.42222222,85.4,9,17.7996460474277
"200",14,22.62955556,22.58411111,47.6,86.33333333,10,17.6938067497524
"201",17.5,19.97055556,19.94966667,41.33333333,90.33333333,11,17.5374699435239
"202",13.1,15.37455556,15.37455556,38.64444444,91.46666667,12,15.758480711752
"203",15.4,16.30022223,16.29566667,35.13333333,94.24444444,13,16.3191253672791
"204",20.7,15.20822223,15.20822223,31.71111111,96.2,14,15.8501535881135
"205",21.7,17.92166667,17.92111111,32.04444444,96.13333333,15,17.2831815292883
"206",24.8,20.13,20.005,32.17777778,95.88888889,16,18.3004059335523
"207",23.7,19.24811112,19.12022223,34.26666667,93.4,17,18.4102202675292
"208",26.9,33.87277778,30.39622223,36.91111111,91.35555556,18,22.8950718196947
"209",22.4,25.45988889,25.33944445,40.88888889,88.88888889,19,19.9858071042334
"210",21.9,18.95866667,18.92688889,47.13333333,85.4,20,16.6678503060804
"211",12.1,16.91133334,16.91133334,55.51111111,81.15555556,21,14.5287679671998
"212",20.5,22.01411111,21.99188889,57.82222222,81.68888889,22,16.4512898350108
"213",17.8,16.78711111,16.78611111,55.22222222,82.28888889,23,14.5107313072991
"214",16.2,16.58966667,16.58966667,54.77777778,81.42222222,0,14.5174242942375
"215",12.5,13.48188889,13.48188889,58.95555556,80.2,1,11.7272683133293
"216",12.3,12.95066667,12.95066667,61.04444444,78.84444444,2,10.7843163509005
"217",11.4,13.21277778,13.21277778,61.55555556,78.11111111,3,10.665113599025
"218",11.4,12.43930233,12.43930233,63.62790698,77.72093023,4,9.98067303155381
"219",13.1,17.01207318,17.01207318,64.92682927,77,5,12.6719364550395
"220",14.7,22.23544445,22.23033334,64.53333333,77.24444444,6,15.0683915005229
"221",17.4,33.06166667,31.37244445,64.22222222,78.15555556,7,19.2651061606722
"222",20,33.69766667,31.68122222,58.93333333,80.44444444,8,20.2691469471422
"223",17.8,21.83477778,21.75266667,49.46666667,85.24444444,9,17.2826800638565
"224",17.8,17.27866667,17.27866667,44.11111111,87.95555556,10,15.8872326647634
"225",14.4,16.34611111,16.34611111,40.8,89,11,16.1379788615626
"226",17.2,15.83633334,15.83633334,36.02222222,91.66666667,12,16.7775842710975
"227",14.3,15.95966667,15.95966667,34.11111111,92.68888889,13,17.1160063152242
"228",21.2,16.42433334,16.41522222,30,94.95555556,14,17.6619401236058
"229",16.4,13.59904762,13.59904762,29.66666667,94.95238095,15,16.0018422100436
"230",20,15.55188889,15.55166667,31.11111111,94.26666667,16,17.1374556387121
"231",21.7,19.94,19.70466667,34.22222222,91.82222222,17,19.2520714006645
"232",27.8,21.15944444,21.00333334,37.53333333,90.26666667,18,19.1153455618228
"233",8.2,12.38582126,12.38582126,49.2826087,83.52173913,19,12.8473919686543
"234",9.9,14.04834091,14.03010606,51.84444444,80.77777778,20,13.5519373790871
"235",10.3,10.62988889,10.62988889,57.15555556,80,21,9.79400455260333
"236",9.8,10.30055556,10.30055556,57.04444444,80,22,9.55206489751411
"237",14.4,13.02844445,13.02844445,57.24444444,79.97777778,23,11.5732249142391
"238",13.4,14.83,14.83,58.08888889,79.17777778,0,12.4208096463648
"239",17.7,18.03077778,18.03055556,60.06666667,78.86666667,1,13.9159448551467
"240",14.1,16.70544445,16.70544445,61.8,78,2,12.8122019302374
"241",11.3,15.55433333,15.55433333,63.84444444,77.26666667,3,11.8810948813326
"242",12.7,18.25955556,18.25955556,64.93333333,76.97777778,4,13.2986533007104
"243",14.4,22.39533333,22.39488889,65.91111111,76.44444444,5,14.8993041190273
"244",21.7,29.60188889,28.67777778,64.48888889,77,6,17.4809650155721
"245",25.4,36.70777778,33.69322222,62.57777778,77.35555556,7,20.1787658092221
"246",18.1,24.62922222,24.33877778,56.73333333,80.8,8,17.431487179042
"247",21.3,20.85269697,20.84435354,48.5,85.09090909,9,17.2403505785998
"248",15.2,18.53177778,18.50733333,45.53333333,86.24444444,10,16.6004077062976
"249",17.5,11.97733334,11.97733334,39.15555556,90.4,11,13.5058631369698
"250",17.2,13.71144445,13.69333333,34.97777778,93.08888889,12,15.2507291973464
"251",18.7,19.46733333,18.96966667,34.11111111,93.86666667,13,18.1810120615551
"252",16.7,14.20177778,14.11077778,32.75555556,94.51111111,14,15.5830864023088
"253",11.8,10.07115217,10.07115217,31.52173913,96,15,12.3000682914875
"254",14.1,9.530666667,9.530666667,30.17777778,96.8,16,11.9930241329556
"255",12.3,12.26944444,12.25155556,33.66666667,94.37777778,17,14.0515556202535
"256",12.2,13.673,13.66766667,38.35555556,91,18,14.8434637688302
"257",21.2,21.44233334,21.257,43.11111111,88.55555556,19,17.8505626426096
"258",10.5,13.86466667,13.86466667,54.8,82.31111111,20,12.8029797690104
"259",13.6,16.68622222,16.67844445,61.37777778,80.37777778,21,13.6068094995065
"260",16.2,17.53422222,17.53122223,61.68888889,80,22,13.9656149030767
"261",19.7,24.867,24.52866667,63.75555556,79.55555556,23,16.7916772763756
"262",17.3,21.09931819,21.09761364,64.75,79,0,15.368690962176
"263",16.6,19.15288889,19.15044445,64.62222222,78.37777778,1,14.2936154041013
"264",15.5,17.113,17.113,64.77777778,77.24444444,2,12.8228257702426
"265",17.4,22.88877778,22.86611111,65.08888889,77.17777778,3,15.3273643772228
"266",19.2,21.18277778,21.17922223,64.66666667,77.06666667,4,14.5900611289574
"267",21.1,25.66434783,25.50945652,64.80434783,76.97826087,5,16.2038455110442
"268",25.7,33.09355556,31.18211111,64.91111111,76.95555556,6,18.6962691480269
"269",30.8,50.779,41.35566667,63.2,77.53333333,7,26.6880460350889
"270",26.4,39.535,35.14011111,57.08888889,80.71111111,8,22.6757004943489
"271",14.3,22.59244444,22.57077778,51.68888889,83.53333333,9,17.6323805712592
"272",14.4,17.27522223,17.275,44.28888889,88.11111111,10,15.7999045621588
"273",14.2,16.09911111,16.09911111,38.44444444,91.6,11,16.2154109187659
"274",18.2,18.82866667,18.74311112,34.71111111,94.02222222,12,17.8170422031124
"275",18.3,16.82922222,16.82922222,32.8,95.68888889,13,16.6641030836146
"276",18.8,14.82755556,14.82755556,32.06666667,95.88888889,14,15.6271223698551
"277",20.6,16.30866107,16.30866107,33.2173913,94.7826087,15,16.6659203538998
"278",19,18.513,18.513,33.71111111,93.97777778,16,18.0416271305396
"279",25.3,19.34911111,19.34622222,35.55555556,92.66666667,17,18.4070350987446
"280",24.3,22.21411111,22.16966667,43.97777778,87.51111111,18,18.1890534109425
"281",16.9,19.87048626,19.86749472,51.06818182,83.40909091,19,16.7422226040642
"282",31.8,26.75377778,26.09644445,55.86666667,82.95555556,20,18.1833929260279
"283",29.1,29.10833334,28.42233334,64.15555556,79.97777778,21,18.4902884879917
"284",25.5,29.81955556,28.79666667,65.26666667,79.88888889,22,18.7237886369462
"285",26.8,26.99288889,26.19144445,63.93333333,79.55555556,23,17.4360740305097
"286",25.1,30.11977778,29.253,63.95555556,79.02222222,0,18.5452442130549
"287",18.7,20.49011111,20.44744445,63.48888889,78.42222222,1,14.7990466164075
"288",13.4,15.52877778,15.52877778,61.97777778,78.95555556,2,12.5113909170008
"289",12.5,16.06266667,16.06266667,60.82222222,79,3,12.8696218602492
"290",12.5,13.52866667,13.52866667,60.68888889,78.35555556,4,11.0134794897783
"291",13.4,15.67411112,15.67411112,61.88888889,78,5,12.2196037574457
"292",21.6,30.91033333,29.59666667,60.8,78,6,18.2682665692628
"293",22.1,31.20666667,30.00766667,59.73333333,78.66666667,7,18.7984116388227
"294",17.9,24.76944445,24.55655556,56.24444444,80.62222222,8,17.5677978016795
"295",16.8,16.79188889,16.78811112,50.06666667,83.68888889,9,15.4287860495614
"296",18.6,13.87544445,13.87544445,47.08888889,85.35555556,10,13.84020881839
"297",19.8,11.401,11.401,42.82222222,88.26666667,11,12.3542453638857
"298",15.8,12.66788889,12.66788889,40.6,89.91111111,12,13.6662893694185
"299",14.8,11.47555556,11.47555556,37.91111111,91.95555556,13,13.1468876577691
"300",20.1,12.23844445,12.16666667,33.26666667,95.28888889,14,13.6789014447636
"301",17.4,9.367666667,9.367666667,31.62222222,95.97777778,15,11.7132292595013
"302",13.8,11.04533333,11.04533333,35.06666667,93.77777778,16,12.9850880801444
"303",20.9,14.24811111,14.24811111,35.46666667,93.26666667,17,15.3993157483072
"304",25,22.50711111,21.634,38.57777778,90.86666667,18,18.9412718850618
"305",17.8,21.68477778,21.67588889,54.11111111,86.02222222,19,15.8189220128183
"306",38.4,60.78955556,46.284,59.33333333,85,20,33.2509965178085
"307",46.2,74.40777778,53.82022222,61.26666667,83.75555556,21,44.02521702931
"308",20.6,28.74277778,27.78533334,67.11111111,79.84444444,22,18.495861245997
"309",22.9,29.17011112,28.18355556,69.88888889,78.71111111,23,18.7251390920422
"310",23.8,26.47755556,25.74011111,69.73333333,79,0,17.8171523018629
"311",20.5,21.06077778,21.03755556,70.04444444,78,1,15.6882946430168
"312",23,18.91888889,18.916,69.55555556,78,2,14.6958753855524
"313",14.6,14.79033334,14.79033334,68.57777778,78,3,12.2820780697824
"314",14.1,13.086,13.086,67.26666667,78,4,10.9334575451187
"315",16.3,15.69888889,15.69888889,66.8,78,5,12.5781492021611
"316",19.5,29.12488889,28.32433333,66.73333333,77.97777778,6,17.9945985476279
"317",20.6,32.03566667,30.17611111,64.68888889,78.8,7,18.9515139901772
"318",16.6,16.25,16.25,58.93333333,80.93333333,8,13.6180871133563
"319",13.3,14.01066667,14.01066667,54.62222222,82.6,9,12.9006449028657
"320",14.8,14.13977778,14.12666667,49.35555556,85.68888889,10,13.2673055791105
"321",19.9,12.62788889,12.62788889,43.95555556,88.68888889,11,12.8600929362706
"322",15.7,12.30055556,12.30055556,41.95555556,90.13333333,12,12.9642427438031
"323",16.6,12.58577778,12.58577778,40.4,91.28888889,13,13.4070658552263
"324",13.9,12.42711111,12.42711111,39.17777778,92.64444444,14,13.2512045050147
"325",20,12.85090909,12.84477273,36.13636364,94.81818182,15,13.5062145236415
"326",20.4,21.38055556,20.64066667,37.91111111,93.86666667,16,17.7391318118198
"327",20.8,20.14577778,19.75211111,42.53333333,89.88888889,18,17.1748749616224
"328",25.4,33.42478261,30.06554348,43.95652174,88.39130435,19,21.1839141738738
"329",27,32.77444445,31.26088889,46,87.44444444,20,21.4239621209495
"330",36.1,36.42344445,33.32477778,49,86.35555556,21,22.1031620664055
"331",22.6,25.12906977,24.46197675,57.65116279,81.95348837,22,17.3978402055174
"332",21.7,19.81277778,19.78255556,62.35555556,79.84444444,23,14.9819402241496
"333",14.4,19.50688889,19.501,67.66666667,78.15555556,0,14.7192435688033
"334",15.2,14.48811111,14.48811111,69.13333333,78,1,12.178926560273
"335",13,16.70044445,16.70044445,70.42222222,77.62222222,2,13.5697194108013
"336",10,12.278,12.278,69.53333333,77,3,10.270276478964
"337",13.7,15.93933334,15.93022223,69.28888889,77,4,12.6587058108898
"338",17.1,18.229,18.22766667,68.28888889,77,5,13.7225505249536
"339",21.5,25.16422222,24.91955556,67.11111111,77.06666667,6,16.2847740594918
"340",20.5,31.11733334,29.74011111,68.26666667,77,7,18.4293341486773
"341",19.8,32.20666667,30.57655556,66.86666667,77.75555556,8,18.9639615549177
"342",16.3,27.37955556,27.12733334,60.95555556,80.97777778,9,18.0905227479572
"343",13.8,18.61366667,18.61366667,55.13333333,83.77777778,10,15.1344381649683
"344",9.9,19.52377778,19.52377778,52.53333333,85.24444444,11,15.59104525021
"345",13.3,19.07844445,19.07844445,46.4,88.77777778,12,15.9543216893261
"346",15.8,16.46444445,16.435,42.44444444,90.51111111,13,15.4603944115022
"347",10.6,13.87588889,13.87588889,39,92.66666667,14,14.3178833918661
"348",13.1,13.628,13.626,36.62222222,93.82222222,15,14.3804008847721
"349",18.2,15.918,15.73911111,35.82222222,93.8,16,15.9913780252636
"350",33.9,33.78811111,28.82888889,39.88888889,91.17777778,17,21.308230732497
"351",28.5,28.00744186,27.1583721,55.23255814,85.41860465,18,17.910122578529
