"","BAM","PA_CF_1","PA_CF_ATM","PA_RH","PA_Temp","hour","Predicted_Corrected_1_pred"
"2840",15.5,24.14433334,24.1105,11.56666667,105.6,"13",21.7085925094
"2841",20.1,25.8625,25.77283334,11,107.7333333,"14",21.6532894175193
"2842",19.3,27.756,27.56383333,11.63333333,107.1,"15",22.4244908374505
"2843",25.7,30.84933334,29.95916667,13.1,103.6666667,"16",24.234455755662
"2844",31.5,38.90333334,34.98833333,18.66666667,95.6,"17",28.158724671027
"2845",72.3,105.1115,73.40183334,25.1,89.56666667,"18",64.5580721231442
"2846",81.1,141.6508334,94.05083333,28.2,86.93333333,"19",87.8093156263401
"2847",56.4,85.06733334,57.45433334,30.93333333,85,"20",54.6392319097482
"2848",65.1,92.7525,61.23683333,37.6,83.06666667,"21",57.3199386286909
"2849",88.3,121.5226667,80.24783334,40.56666667,82,"22",69.5844472702333
"2850",68.4,112.1683333,74.05166667,41.2,81.06666667,"23",64.4750000725225
"2851",81,149.058,98.634,44.9,80,"0",90.5136599763223
"2852",87.9,165.6293333,109.6836667,47.56666667,78.86666667,"1",103.225540087561
"2853",83.3,132.4108334,87.5335,51.33333333,78,"2",73.3952609948764
"2854",74.4,117.5141667,77.59833333,51.06666667,77.26666667,"3",63.068937191814
"2855",68.2,112.3053334,74.11183333,51.36666667,76.7,"4",60.2066576056722
"2856",78.5,116.0525,76.6275,53.66666667,75.93333333,"5",61.0925889221646
"2857",70.1,115.253,76.0855,55.33333333,75.46666667,"6",60.1308830328247
"2858",85.2,146.3193333,96.79716667,49.76666667,78.73333333,"7",86.2824102434232
"2859",18.6,46.3225,39.25966667,16.86666667,107.1666667,"14",30.6717333818347
"2860",31.6,48.70733334,40.42016667,19.53333333,103.3666667,"15",32.6795061494463
"2861",39.1,50.76,41.46866667,22.2,100.7,"16",33.3008428947652
"2862",44.1,60.261,45.5175,26.36666667,95.93333333,"17",37.7515565137972
"2863",55,82.02033334,55.343,32.93333333,89.73333333,"18",50.8089402501477
"2864",67,110.2885,72.793,36.6,87.83333333,"19",63.4500396053108
"2865",61.7,91.9885,60.60933334,38.6,87,"20",55.3481836664691
"2866",54.3,83.578,55.3165,42.83333333,84.66666667,"21",50.197317281515
"2867",52.4,89.4985,58.949,47.46666667,83,"22",52.7910321258103
"2868",57.3,92.66966667,61.04583333,48.43333333,81.86666667,"23",54.2741788172697
"2869",58,90.55283334,59.62416667,48.13333333,81.86666667,"0",53.2823953827562
"2870",57.6,92.057,60.62933334,48.76666667,81.03333333,"1",53.8286232372148
"2871",63.5,92.044,60.66,47.83333333,80.63333333,"2",54.0046272421519
"2872",53.6,85.00066667,56.1175,50.63333333,79.46666667,"3",49.0817347873875
"2873",61.5,88.80716667,58.94866667,50.36666667,79,"4",51.1693885148387
"2874",63.4,102.6685,67.69983334,52.9,78.43333333,"5",56.6762008170453
"2875",74,117.8336667,77.8255,54.43333333,78.1,"6",62.8429278316304
"2876",87.7,160.5276667,106.264,53.73333333,80.03333333,"7",98.129649131512
"2877",87,159.4033334,105.5158334,43,85.73333333,"8",99.3034090873307
"2878",92.5,156.9611667,103.8618334,36.23333333,91.2,"9",97.972249742288
"2879",55.7,98.27566667,64.959,29.83333333,95.66666667,"10",58.2719576602453
"2880",55.9,79.17068966,52.82896552,24.4137931,101.2068966,"11",48.8131180071997
"2881",52.9,77.09366667,52.0335,22.66666667,102.8666667,"12",47.9566478599304
"2882",53.3,75.47983333,51.95566667,22.1,102.9666667,"13",47.0110084259883
"2883",51.8,64.16133334,47.31766667,22.56666667,102.1,"14",40.2186422803399
"2884",38.6,62.08233333,46.2505,25.26666667,97.93333333,"15",38.371024750914
"2885",44.6,61.2115,45.932,26.76666667,96.16666667,"16",38.0207326248432
"2886",46.5,62.76616667,46.5505,30.86666667,91.86666667,"17",39.3803970460251
"2887",66.6,87.45733334,58.11916667,36.06666667,89.2,"18",53.1895030866882
"2888",72.5,106.8203334,70.46566667,38.9,87.7,"19",61.3659363376474
"2889",67.7,100.0371667,65.9365,40.36666667,86.4,"20",58.6253259678922
"2890",69.1,103.8145,68.4765,42.06666667,85.56666667,"21",59.9271582956943
"2891",68.8,106.1691667,70.0265,44.8,84.13333333,"22",60.5753293613731
"2892",65.5,105.5645,69.625,47.73333333,83.53333333,"23",59.6971751209072
"2893",76.2,117.1806667,77.3825,50.36666667,83,"0",64.27858684116
"2894",79.6,121.7685,80.40733333,51.56666667,82.56666667,"1",66.6592645056419
"2895",71.8,122.9441667,81.21166667,53.16666667,81.8,"2",67.0702362816904
"2896",73.1,120.0021667,79.242,53.63333333,81.7,"3",65.1776932186835
"2897",53.3,91.61033334,61.25283334,57.66666667,80.33333333,"4",51.5769885939098
"2898",22.4,44.991,38.52966667,62.16666667,78.7,"5",24.4274761276494
"2899",41.1,79.96783333,54.9665,63.76666667,78.8,"6",44.0383173358584
"2900",58.9,114.2405,75.40766667,59.26666667,81.5,"7",61.254415835962
"2901",40.4,82.04016667,55.14683333,50.96666667,84.36666667,"8",47.1242812385992
"2902",36.5,70.07966667,49.39416667,46.5,86.9,"9",39.8138043607395
"2903",49.4,90.52177586,60.46952874,39.17241379,92.4137931,"10",53.1682317013621
"2904",51.8,83.69166667,55.34183333,35.23333333,95,"11",49.3233683544457
"2905",46.7,74.35316667,50.9375,30.46666667,99.13333333,"12",43.7542132227196
"2906",38.8,57.51716667,44.383,26.4,101.9666667,"13",35.93500789104
"2907",54.2,63.52333334,47.134,28.56666667,99.96666667,"14",38.1058504150235
"2908",48,61.69316667,46.137,34.5,96.13333333,"15",35.8360173565271
"2909",35.7,65.1195,47.93966667,38.2,93.26666667,"16",37.803847839005
"2910",38.9,58.06516667,44.6265,39.4,89.43333333,"17",34.8739397761083
"2911",53.5,85.95333334,58.25516667,45.33333333,86.7,"18",50.1766105000941
"2912",53.9,88.62033334,58.37866667,47.56666667,85.16666667,"19",51.6259740626218
"2913",54.3,86.36633334,56.9015,49.9,84.2,"20",50.0784889299574
"2914",57.3,92.939,61.32016667,50.76666667,84,"21",53.4408793787261
"2915",53.1,83.3865,55.17766667,50.63333333,83.4,"22",48.3340062192042
"2916",50.9,87.43833334,57.62183333,51.7,83,"23",50.5673143908257
"2917",49.8,84.85133334,56.05683334,52.73333333,82.86666667,"0",48.8373018210298
"2918",53,93.38746552,61.53216667,54.9,82,"1",53.0947074863218
"2919",48.9,88.107,58.01066667,55.7,81.86666667,"2",50.2063713008561
"2920",54.6,95.09883334,62.66,57.6,81.03333333,"3",53.3953070126307
"2921",49.2,82.03983334,54.5335,58.73333333,80.9,"4",46.0738317159899
"2922",61.3,97.9435,64.70383334,62.56666667,79.93333333,"5",54.1188920149244
"2923",55,105.094,69.3035,65.46666667,79.26666667,"6",56.9775562555843
"2924",50,106.7876667,70.46033333,64.26666667,78.73333333,"7",57.3378502450263
"2925",40.8,96.09333333,63.30566667,55.63333333,83.53333333,"8",53.9777091511057
"2926",57.1,99.72233332,65.72516667,47.3,88.53333333,"9",55.9242614185297
"2927",25.7,58.7645,44.63616667,40.8,91.5,"10",34.3823744016653
"2928",36.2,50.10033334,41.10833334,31.96666667,96.36666667,"11",30.6521632228714
"2929",26.6,43.56433334,37.55416667,27.7,99.83333333,"12",28.0009509062563
"2930",21.3,34.84016667,32.5835,23.9,103.5666667,"13",25.244120427475
"2931",25,34.03716667,32.10516667,22.53333333,104.5,"14",25.111726780907
"2932",28,35.04616667,32.70716667,25.53333333,100.9333333,"15",24.784652349233
"2933",34,37.64483334,34.277,30.13333333,95.2,"16",25.3312757661893
"2934",26.9,35.8415,33.2105,33.46666667,91.36666667,"17",25.0711176856784
"2935",32.5,45.80483333,38.85183333,35.7,89.2,"18",29.6443253460773
"2936",38.7,53.9505,42.86366667,37.93333333,88,"19",33.5294042421327
"2937",47.9,65.40016667,47.5555,40.7,87.26666667,"20",38.7207209486946
"2938",45.5,70.60833334,49.63283333,45.96666667,85.7,"21",40.6926568013426
"2939",39.5,57.35783333,44.27866667,53.63333333,82.93333333,"22",32.5357348017274
"2940",36.8,54.9965,43.02366667,54.93333333,82.33333333,"23",31.1633783013496
"2941",60.2,103.2743334,68.09566667,58.16666667,82.4,"0",56.7673695732937
"2942",66.5,119.5116667,78.93483334,59.8,81.96666667,"1",63.9596237189668
"2943",66.8,118.7781667,78.44516667,61.16666667,81.26666667,"2",63.4566503076013
"2944",71.1,127.4778334,84.24066667,61.8,81,"3",68.9980091600297
"2945",74.8,131.7455,87.11033334,62.5,80.9,"4",72.2553921099993
"2946",70.8,133.9021667,88.52333334,63.36666667,80,"5",73.8477139129066
"2947",79.6,143.8923333,95.18433334,63.46666667,80,"6",82.6222680741201
"2948",87.6,157.7713334,104.4313334,60.8,82.16666667,"7",95.1518526575235
"2949",87.3,152.883,101.1758333,54.8,85.13333333,"8",90.9553636286142
"2950",56.7,105.6965,69.7515,46.16666667,89.7,"9",58.3968455347727
"2951",45.6,72.98633334,50.65233333,34.7,95.2,"10",42.5588136999985
"2952",37.7,59.099,45.05216667,26.9,100.4,"11",36.4057552997665
"2953",41,55.23033334,43.44216667,24.66666667,101.3,"12",35.1776086564888
"2954",31.8,51.22183333,41.68566667,23.96666667,101.4666667,"13",33.2937105765803
"2955",37.3,52.19316667,42.12133334,23.36666667,102.7,"14",34.0232469911602
"2956",32.7,51.5505,41.81466667,24.2,101.7333333,"15",33.4420463511418
"2957",37.6,51.606,41.83933334,25.46666667,99.46666667,"16",32.9321124700664
"2958",41.9,58.0965,44.64933334,31.63333333,92.76666667,"17",36.4671263189239
"2959",52.4,76.31533333,51.77966667,38.23333333,88.23333333,"18",45.7721322141207
"2960",55.4,90.298,59.52333334,41.1,87,"19",53.7332273277277
"2961",61.2,100.7285,66.40516667,43.26666667,85.53333333,"20",58.3634064397986
"2962",57.1,93.24933334,61.42133333,46.13333333,83.9,"21",54.8468899715062
"2963",56.7,95.85966667,63.1615,47.66666667,83.06666667,"22",55.8493600585209
"2964",55.6,94.34766667,62.158,48.76666667,82.5,"23",54.9526431516344
"2965",61,101.366,66.82933334,52.2,81.86666667,"0",57.1412083825805
"2966",71,120.1265,79.34483334,56.5,81.03333333,"1",64.6508552950284
"2967",61.6,144.2215,95.422,61.43333333,79.6,"4",82.7644632372681
"2968",82.4,155.0581667,102.653,62.3,78.73333333,"5",92.1390381691249
"2969",84.1,159.035,105.2775,62.93333333,78,"6",95.2009651271327
"2970",87.8,169.7291667,112.3813334,61.8,79.23333333,"7",103.821705010324
"2971",93.9,172.1991667,114.042,55.66666667,82.7,"8",106.576704111075
"2972",80.1,138.1191667,91.30833334,51.43333333,83.8,"9",78.8995499442242
"2973",56.1,100.2605,66.0725,38.7,91.43333333,"10",58.065025468729
"2974",47.4,75.56066667,51.46033333,29.53333333,97.83333333,"11",44.9347082319993
"2975",44.9,65.491,47.614,24.23333333,101.5333333,"12",40.5371130720762
"2976",42.4,59.97116667,45.41833334,22.43333333,102.3666667,"13",38.1119209135862
"2977",41.6,55.71016667,43.67166667,21.1,103.1,"14",36.1936842848591
"2978",38.6,53.83383334,42.87283333,21.06666667,102.4,"15",35.2313603033078
"2979",41,53.42033334,42.68266667,23.66666667,98.86666667,"16",34.3005788387231
"2980",37.1,56.942,44.2205,29.4,92,"17",36.8797504210394
"2981",46.9,71.90653449,50.18056322,34.13333333,88.3,"18",44.2317282135728
"2982",50.2,78.19133333,52.63533333,37.3,86.33333333,"19",47.8089369467831
"2983",52,84.578,56.33316667,45.8,83.63333333,"20",50.2878840393064
"2984",44.2,73.58083334,50.8155,48.8,82.2,"21",42.7157184426315
"2985",38.2,65.859,47.77283334,48.43333333,80.96666667,"22",38.2023998642565
"2986",39.3,69.56533333,49.22016667,54.16666667,79.56666667,"23",38.5901672698576
"2987",35.3,68.291,48.72016667,58.8,78.13333333,"0",36.5646783344369
"2988",30.2,58.92316667,45.01716667,59.56666667,77.5,"1",31.276349127434
"2989",27,54.37066667,43.11716667,61.53333333,76.2,"2",28.3073098922888
"2990",29.6,55.252,43.48433333,63.46666667,75.03333333,"3",28.2154313812594
"2991",31.9,62.1385,46.29133334,64.8,74.43333333,"4",31.4510745032602
"2992",27.5,55.85966667,43.77333334,65.23333333,73.86666667,"5",28.0294091181884
"2993",26.3,55.27166667,43.49983334,64.73333333,73.43333333,"6",27.4367571015119
"2994",28.9,65.61133334,47.70016667,62,75.16666667,"7",33.5291989643661
"2995",30.3,62.2925,46.37083334,55.03333333,79,"8",34.229657238204
"2996",27,47.10035632,39.57186207,45.26666667,85.4,"9",28.5695820354129
"2997",15.7,30.02366667,28.88516667,35.1,90.96666667,"10",22.6913486337741
"2998",13.7,26.00933333,25.34266667,28.96666667,95.26666667,"11",21.8072034707699
"2999",11.6,18.10583333,18.10583333,24.46666667,99.13333333,"12",19.0061679580013
"3000",14.5,16.96416667,16.96416667,22.5,100.5333333,"13",18.880182629805
"3001",13.5,15.38433334,15.38433334,23.36666667,98.06666667,"14",17.7379562934299
"3002",11.6,16.64733334,16.64733334,23.66666667,97.46666667,"15",18.5576982588161
"3003",16.1,20.83216667,20.503,26.43333333,94,"16",21.3757987351847
"3004",20.4,24.65733333,24.48733334,32.26666667,88.86666667,"17",22.4152570730178
"3005",26.5,45.60716667,38.3845,38.66666667,85.03333333,"18",29.8356625925935
"3006",30.3,45.46466667,38.79683334,42.63333333,83.66666667,"19",29.0343353757881
"3007",29.2,47.74666667,39.98116667,46.7,81.9,"20",29.3785398811676
"3008",32.5,62.67566667,46.81316667,50.93333333,80.66666667,"21",35.8249002602387
"3009",41.9,97.00583334,66.14166667,55.76666667,78.93333333,"22",53.9624776796509
"3010",26,60.63916667,46.07733334,59.83333333,77.53333333,"23",32.1310730731949
"3011",25.8,51.67566667,41.888,61.56666667,76.63333333,"0",27.1190589797366
"3012",22.4,50.69566667,41.4585,62.23333333,76,"1",26.3031271102456
"3013",24.6,50.0475,41.13266667,62.56666667,75.4,"2",25.6698458855777
"3014",25,51.55783334,41.82566667,62.3,74.93333333,"3",26.2266362023226
"3015",21.7,50.9465,41.57833334,63,74.2,"4",25.5304178460321
"3016",26,56.26783333,43.906,63.66666667,74,"5",28.1834115004933
"3017",31.9,66.3245,47.94533334,64.26666667,73.3,"6",32.9859852489017
"3018",29.2,71.4025,49.89716667,62.13333333,74.73333333,"7",36.6470265049236
"3019",22.9,53.28683334,42.47566667,52.6,78.43333333,"8",29.9858555461583
"3020",20.1,46.4915,39.308,42.83333333,84.53333333,"9",29.2571156190996
"3021",19.7,43.78916667,37.71533334,34.36666667,91.23333333,"10",28.5831096804768
"3022",17.6,31.14233334,30.24366667,26.46666667,95.5,"11",23.9464872980202
"3023",20,30.26716667,29.613,24.1,98.6,"12",23.4278588108303
"3024",17.3,28.6823161,28.36043104,21.16666667,101.2333333,"13",23.6511652785613
"3025",18.4,27.9335,27.70166667,20.13333333,102,"14",23.624455802161
"3026",19.1,27.89933334,27.70216667,21.63333333,98.73333333,"15",23.196151538195
"3027",29.6,31.92933333,30.68566667,23.2,97.53333333,"16",24.2775375442984
"3028",25.3,39.9305,35.5835,30.06666667,90.03333333,"17",28.2442954881649
"3029",34.8,55.88866667,43.69983333,35.56666667,85.8,"18",35.9124849984673
"3030",106.5,147.1441667,99.47083334,40.16666667,83.36666667,"19",90.247124849599
"3031",40.2,65.35,47.57616667,49.8,80.8,"20",37.5437526471445
"3032",27,54.38883333,43.11766667,56,78.3,"21",29.8029360880707
"3033",27.4,53.02168804,42.52602565,59.18518519,77.81481481,"22",28.4713242739135
"3034",25.8,54.28270834,43.11875,60.91666667,77.16666667,"23",28.7244570491802
"3035",25.8,53.99183334,42.98233333,60.83333333,77.13333333,"0",28.563923476531
"3036",26.4,50.47466667,41.331,58.56666667,76.16666667,"1",26.4482055761527
"3037",26.3,50.955,41.578,62.26666667,74.23333333,"2",25.5357490210176
"3038",21.4,50.37083334,41.27033334,63.3,73.83333333,"3",25.033085267156
"3039",21.6,48.00716667,40.11183334,62.5,74,"4",23.8326284903027
"3040",21.3,44.63433334,38.34733333,63.2,73.96666667,"5",22.0119847935804
"3041",18.1,40.439,35.95633334,62.5,74.1,"6",19.8948573656278
"3042",19.1,42.32483334,36.95533333,61.26666667,75.63333333,"7",21.6467732243872
"3043",16.2,35.166,32.70316667,55.73333333,79.46666667,"8",20.634655405681
